ent_coef,gamma,gae_lambda,n_steps,clip_range,n_epochs,batch_size,total_reward,model_filename
0.001,0.85,0.85,2048,0.1,10,64,13.1,./saved_models/model_ent_coef=0.001_gamma=0.85_gae_lambda=0.85_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.85,0.9,2048,0.1,10,64,12.400000000000077,./saved_models/model_ent_coef=0.001_gamma=0.85_gae_lambda=0.9_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.85,0.95,2048,0.1,10,64,17.20000000000005,./saved_models/model_ent_coef=0.001_gamma=0.85_gae_lambda=0.95_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.85,0.99,2048,0.1,10,64,25.59999999999996,./saved_models/model_ent_coef=0.001_gamma=0.85_gae_lambda=0.99_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.9,0.85,2048,0.1,10,64,21.600000000000012,./saved_models/model_ent_coef=0.001_gamma=0.9_gae_lambda=0.85_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.9,0.9,2048,0.1,10,64,36.8,./saved_models/model_ent_coef=0.001_gamma=0.9_gae_lambda=0.9_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.9,0.95,2048,0.1,10,64,26.100000000000012,./saved_models/model_ent_coef=0.001_gamma=0.9_gae_lambda=0.95_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.9,0.99,2048,0.1,10,64,14.200000000000049,./saved_models/model_ent_coef=0.001_gamma=0.9_gae_lambda=0.99_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.95,0.85,2048,0.1,10,64,34.8,./saved_models/model_ent_coef=0.001_gamma=0.95_gae_lambda=0.85_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.95,0.9,2048,0.1,10,64,14.500000000000068,./saved_models/model_ent_coef=0.001_gamma=0.95_gae_lambda=0.9_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.95,0.95,2048,0.1,10,64,32.3,./saved_models/model_ent_coef=0.001_gamma=0.95_gae_lambda=0.95_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.95,0.99,2048,0.1,10,64,16.60000000000006,./saved_models/model_ent_coef=0.001_gamma=0.95_gae_lambda=0.99_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.99,0.85,2048,0.1,10,64,35.99999999999993,./saved_models/model_ent_coef=0.001_gamma=0.99_gae_lambda=0.85_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.99,0.9,2048,0.1,10,64,37.8,./saved_models/model_ent_coef=0.001_gamma=0.99_gae_lambda=0.9_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.99,0.95,2048,0.1,10,64,16.000000000000064,./saved_models/model_ent_coef=0.001_gamma=0.99_gae_lambda=0.95_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
0.001,0.99,0.99,2048,0.1,10,64,32.50000000000002,./saved_models/model_ent_coef=0.001_gamma=0.99_gae_lambda=0.99_n_steps=2048_clip_range=0.1_n_epochs=10_batch_size=64.zip
